Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Complete,Special Event,Commercial,,SPPLUS Event (3.14),S14MR084,03/14/2014 12:00:00 AM,03/14/2014 12:00:00 AM,,Queen Anne,,,SPPLUS,2540
,Complete,Special Event,Commercial,,Bartell Drugs Grand Opening Ballard,S14MR117,03/15/2014 12:00:00 AM,03/15/2014 12:00:00 AM,,Ballard,,,Bartell Drug Company,250
,Complete,Special Event,Free Speech,,March for $15 on March 15,S14MR148,03/15/2014 12:00:00 AM,03/15/2014 12:00:00 AM,Occidental Park,Central District,,,15 Now,1050
,Complete,Special Event,Community,,Sounders FC March to the Match (3.15),S14MR152,03/15/2014 12:00:00 AM,03/15/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,
,Complete,Special Event,Community,,St. Patrick's Day Parade,S14MR049,03/15/2014 12:00:00 AM,03/15/2014 12:00:00 AM,,Downtown,,,Irish Heritage Club,4700
,Complete,Special Event,Athletic,Run/Walk,St. Patrick's Day Dash,S14MR020,03/16/2014 12:00:00 AM,03/16/2014 12:00:00 AM,,Multiple Neighborhoods,,,Detlef Schrempf Foundation,12200
,Complete,Special Event,Commercial,,Fado Annual St. Patrick's Day,S14MR015,03/17/2014 12:00:00 AM,03/17/2014 12:00:00 AM,,Downtown,,,Fado Irish Pub,795
,Complete,Special Event,Commercial,,Kells Irish Restaurant 31st Annual St. Patrick's Day Festival,S14MR070,03/14/2014 12:00:00 AM,03/17/2014 12:00:00 AM,,Downtown,,,Kells Irish Restaurant & Bar,300
,Complete,Valet Parking,,,Fare Start,S14MR137,03/18/2014 12:00:00 AM,03/18/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Red Carpet Valet,80
,Complete,Valet Parking,,,Seattle Repertory Theatre,S14MR154,03/19/2014 12:00:00 AM,03/19/2014 12:00:00 AM,,Queen Anne,,,Four Park Avenue,30
